feedback_id,internship_id,week_number,rating,feedback_date
1,171,5,3,29-04-2025 00:00
2,55,10,2,18-09-2025 00:00
3,229,9,1,07-01-2026 00:00
4,26,9,3,14-04-2025 00:00
5,100,1,5,16-08-2025 00:00
6,68,6,5,14-08-2025 00:00
7,130,6,2,30-01-2025 00:00
8,55,12,3,02-10-2025 00:00
9,221,5,4,08-07-2025 00:00
10,47,5,2,12-10-2025 00:00
11,77,12,4,01-04-2026 00:00
12,77,11,1,25-03-2026 00:00
13,277,2,2,17-11-2024 00:00
14,191,7,4,08-06-2025 00:00
15,20,9,2,12-08-2024 00:00
16,259,3,5,06-08-2025 00:00
17,118,8,5,21-09-2025 00:00
18,155,6,5,28-08-2024 00:00
19,151,8,5,25-07-2024 00:00
20,164,11,3,28-06-2025 00:00
21,242,4,2,02-09-2025 00:00
22,240,5,1,03-02-2026 00:00
23,127,3,2,30-04-2025 00:00
24,101,9,1,11-10-2025 00:00
25,61,7,5,04-08-2025 00:00
26,20,3,3,01-07-2024 00:00
27,276,6,1,11-08-2024 00:00
28,267,7,4,19-08-2025 00:00
29,226,12,1,17-03-2026 00:00
30,57,12,2,02-10-2025 00:00
31,251,3,4,18-12-2024 00:00
32,78,1,2,14-01-2026 00:00
33,235,6,3,26-12-2024 00:00
34,94,3,5,23-03-2025 00:00
35,278,12,2,05-05-2025 00:00
36,120,8,4,14-03-2026 00:00
37,87,12,3,28-11-2024 00:00
38,98,7,1,27-09-2025 00:00
39,164,8,3,07-06-2025 00:00
40,154,4,2,27-04-2026 00:00
41,29,7,3,23-09-2025 00:00
42,222,4,3,01-07-2025 00:00
43,182,8,5,09-03-2026 00:00
44,184,2,3,17-10-2024 00:00
45,5,7,2,03-09-2025 00:00
46,142,1,5,16-03-2025 00:00
47,247,12,2,21-06-2026 00:00
48,43,5,2,04-09-2025 00:00
49,221,11,3,19-08-2025 00:00
50,77,3,4,28-01-2026 00:00
51,7,1,5,12-06-2024 00:00
52,105,6,1,03-01-2026 00:00
53,80,3,4,28-06-2024 00:00
54,68,9,4,04-09-2025 00:00
55,55,5,4,14-08-2025 00:00
56,228,6,1,16-06-2025 00:00
57,179,8,3,14-12-2024 00:00
58,126,12,2,15-06-2026 00:00
59,22,8,3,09-01-2026 00:00
60,113,2,3,06-12-2024 00:00
61,166,7,2,19-05-2025 00:00
62,208,3,5,29-09-2024 00:00
63,65,4,3,03-12-2024 00:00
64,32,7,3,04-02-2025 00:00
65,61,3,2,07-07-2025 00:00
66,40,6,1,22-06-2025 00:00
67,185,4,5,16-01-2026 00:00
68,238,9,2,24-08-2024 00:00
69,177,8,2,22-07-2024 00:00
70,241,5,3,09-09-2025 00:00
71,220,3,4,26-10-2024 00:00
72,120,5,4,21-02-2026 00:00
73,27,9,5,23-09-2024 00:00
74,26,8,4,07-04-2025 00:00
75,211,10,4,20-01-2025 00:00
76,72,9,4,21-05-2025 00:00
77,82,7,5,04-03-2025 00:00
78,284,3,5,10-09-2025 00:00
79,81,3,5,28-06-2024 00:00
80,125,1,5,30-03-2026 00:00
81,4,7,2,03-09-2025 00:00
82,213,3,5,02-12-2024 00:00
83,213,11,2,27-01-2025 00:00
84,39,6,3,22-06-2025 00:00
85,155,5,4,21-08-2024 00:00
86,133,7,4,02-07-2024 00:00
87,268,2,3,08-12-2025 00:00
88,27,5,4,26-08-2024 00:00
89,83,2,3,30-11-2024 00:00
90,67,11,5,18-09-2025 00:00
91,161,1,1,13-02-2025 00:00
92,278,3,2,03-03-2025 00:00
93,256,4,1,09-01-2026 00:00
94,264,6,4,12-08-2025 00:00
95,108,1,5,27-03-2025 00:00
96,11,12,4,12-07-2025 00:00
97,230,3,3,30-10-2024 00:00
98,253,5,5,31-12-2025 00:00
99,39,5,3,15-06-2025 00:00
100,34,7,4,08-01-2025 00:00
101,56,12,3,02-10-2025 00:00
102,229,1,2,12-11-2025 00:00
103,252,10,1,16-09-2025 00:00
104,178,7,5,07-12-2024 00:00
105,62,2,3,30-06-2025 00:00
106,145,1,1,19-03-2025 00:00
107,38,5,2,23-12-2024 00:00
108,32,1,5,24-12-2024 00:00
109,36,8,5,02-02-2025 00:00
110,271,2,4,24-03-2026 00:00
111,88,3,2,02-11-2025 00:00
112,58,10,1,13-04-2026 00:00
113,122,9,2,30-08-2024 00:00
114,7,5,5,10-07-2024 00:00
115,50,12,3,23-08-2024 00:00
116,32,10,2,25-02-2025 00:00
117,48,9,4,09-11-2025 00:00
118,79,12,2,30-08-2024 00:00
119,112,2,1,06-12-2024 00:00
120,214,5,4,12-01-2025 00:00
121,68,3,1,24-07-2025 00:00
122,53,11,1,16-08-2024 00:00
123,250,10,4,05-02-2025 00:00
124,100,6,4,20-09-2025 00:00
125,15,4,4,09-05-2024 00:00
126,186,5,1,23-01-2026 00:00
127,52,4,4,28-06-2024 00:00
128,51,7,5,19-07-2024 00:00
129,275,5,3,04-08-2024 00:00
130,166,1,2,07-04-2025 00:00
131,282,7,1,15-02-2025 00:00
132,264,2,4,15-07-2025 00:00
133,267,1,2,08-07-2025 00:00
134,29,11,3,21-10-2025 00:00
135,271,11,4,26-05-2026 00:00
136,277,9,5,05-01-2025 00:00
137,75,11,2,08-02-2025 00:00
138,288,8,2,14-08-2024 00:00
139,284,5,5,24-09-2025 00:00
140,53,8,1,26-07-2024 00:00
141,67,7,2,21-08-2025 00:00
142,3,3,2,02-02-2025 00:00
143,265,1,4,08-07-2025 00:00
144,22,5,2,19-12-2025 00:00
145,5,9,3,17-09-2025 00:00
146,199,5,3,16-06-2025 00:00
147,12,12,4,12-07-2025 00:00
148,162,1,1,13-02-2025 00:00
149,286,2,4,03-07-2024 00:00
150,13,7,2,12-05-2026 00:00
151,275,3,1,21-07-2024 00:00
152,287,10,4,28-08-2024 00:00
153,235,3,4,05-12-2024 00:00
154,279,8,4,21-10-2025 00:00
155,255,12,5,06-03-2026 00:00
156,214,11,2,23-02-2025 00:00
157,45,2,4,24-10-2025 00:00
158,226,3,1,13-01-2026 00:00
159,136,6,2,14-01-2026 00:00
160,199,8,4,07-07-2025 00:00
161,28,1,4,29-07-2024 00:00
162,105,10,1,31-01-2026 00:00
