feedback_id,internship_id,week_number,rating,feedback_date
1,233,3,4,25-11-2024 00:00
2,187,4,2,13-04-2026 00:00
3,53,5,4,05-07-2024 00:00
4,21,9,4,16-01-2026 00:00
5,284,8,2,15-10-2025 00:00
6,6,1,2,14-04-2024 00:00
7,149,7,1,08-08-2025 00:00
8,151,3,1,20-06-2024 00:00
9,217,4,2,11-05-2024 00:00
10,79,10,2,16-08-2024 00:00
11,169,12,2,28-12-2024 00:00
12,113,12,5,14-02-2025 00:00
13,76,6,2,04-01-2025 00:00
14,144,2,3,23-03-2025 00:00
15,27,10,3,30-09-2024 00:00
16,93,4,4,04-12-2025 00:00
17,281,10,2,18-08-2024 00:00
18,192,10,2,02-04-2025 00:00
19,38,6,5,30-12-2024 00:00
20,68,7,3,21-08-2025 00:00
21,243,6,4,10-09-2024 00:00
22,116,7,5,29-06-2024 00:00
23,63,3,4,29-06-2024 00:00
24,160,9,3,08-07-2025 00:00
25,76,2,2,07-12-2024 00:00
26,270,1,5,09-03-2025 00:00
27,74,8,1,01-12-2024 00:00
28,154,11,5,15-06-2026 00:00
29,44,11,3,07-05-2025 00:00
30,144,8,5,04-05-2025 00:00
31,93,2,5,20-11-2025 00:00
32,152,1,4,06-04-2026 00:00
33,13,10,4,02-06-2026 00:00
34,201,5,5,09-12-2025 00:00
35,247,10,5,07-06-2026 00:00
36,130,7,1,06-02-2025 00:00
37,150,11,3,15-01-2026 00:00
38,9,3,1,08-01-2025 00:00
39,76,10,5,01-02-2025 00:00
40,31,9,3,23-01-2026 00:00
41,146,1,3,22-02-2026 00:00
42,145,12,3,04-06-2025 00:00
43,210,5,4,16-12-2024 00:00
44,266,2,1,15-07-2025 00:00
45,91,4,4,16-10-2025 00:00
46,288,11,3,04-09-2024 00:00
47,185,1,2,26-12-2025 00:00
48,200,7,1,30-06-2025 00:00
49,242,7,2,23-09-2025 00:00
50,97,12,1,03-06-2026 00:00
51,158,4,2,09-11-2024 00:00
52,31,8,4,16-01-2026 00:00
53,106,11,2,02-12-2025 00:00
54,285,5,3,24-09-2025 00:00
55,278,8,4,07-04-2025 00:00
56,57,5,5,14-08-2025 00:00
57,243,5,5,03-09-2024 00:00
58,272,7,2,28-04-2026 00:00
